What is your age?	Piro tumur nu?
Nineteen years old.	Hopod om siam toun.
Don't be hurry.	Kada kaarau-arau.
Have you eaten?	Nokoakan ko noh?
Have you eaten or not?	Nokoakan ko noh toi ko amu?
come, have lunch together	Kanou makan tokou.
I have eaten.	Nokoakan oku noh.
Happy always.	Asahang kasari.
How are you today.	Nunu habar nu baino?
How?	Okuro-kuro noh?
Good.	Osonong i boh.
As usual.	Miagal kasari.
Are you free?	Osimbayan ko i?
No. I have work to do.	Amu i. Haro wonsoyonku.
When are you free?	Soira ko dot osimbayan?
After tommorow.	Suab dino.
Where are you going?	Onggo tongoyon nu?
I am going to the market.	Mongoi oku hilo id Pasar
Are you married?	Nokokawin ko noh?
Not yet. Single.	Amu po. Poimbujang po.
I love you.	Muhang oku dika.
Take care.	Sumonong-sonong mamanau.
Good bye.	Hino ko po.
When will we meet again?	Soira kopisolowot kawagu? 
Next time.	Koimbagu. 
Where is the way	Ongo ralan
to your house	mongoi walai nu
Do you like to walk?	Orohian ko mimpanau?
I am going to Mall	Mamanau oku mongoi Mall.
What is your name?	Isai ngaran nu?
My name is	Ngaran ku
I have been bitten by snake	Kinokot oku wulanut.
Who is that guy?	Isai ilo kusai?
I like that girl.	Orohian oku ilo tendu.
My nose hurt.	Oruol tedung ku.
Borrow your notes	Poloso oku nota nu.
Miss my hometown	Langadon oku kampung ku.
this	diti
is	nopo
speak	boros
speaking	mimboros
no	amu
me	oku
know	koilo
if	nung
same	miagal
to	id
different	suai
place	koiyonon
good	osonong
too	kopio
too good	osonong kopio
have	haro
giving	maganu
taking	manganu
chance	kesiwatan
people	tulun
learn	barajal
Why you smile?	Nokuro kongingis koh?
What are you doing there?	Nu mangan nu hilo?
When are you coming	Soira koh rumikot
to my house	mongoi id walai ku
In that case?	nung miagal diti
I am leaving	mamanau oku poh
See you again	Kopiruba kawagu 
Where are you from?	Nonggo tadon nu?
Where do you live?	Nonggo ko poingion ?
What is your father name?	Isai ngaran di tapa nu ?
What is your mother name?	Isai ngaran di tama nu ? 
How many siblings do you have?	Piro kou songodiadi?
How old are you?	Piro noh numbur nu ?












